,spkid,full_name,pha,H,diameter,albedo,diameter_sigma,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
105278,2281786,'281786 (2009 TY41)',N,17.4,1.469,0.108,0.34,0.1131028598354192,2.304624939494888,2.043965267989986,3.657187721240384,111.1750560578767,316.01109078163915,353.8646307602468,2.565284610999789,0.2817109239116888,2459022.278953952,20200621.778954,1277.905716261302,3.49871517114662,1.0598299999999998,412.4540411,6.970100000000001e-08,2.2998e-08,1.7042000000000001e-07,6.823e-06,0.00012346,0.00012818,3.5573e-05,2.5599e-08,4.2168e-09,0.00012639,1.9129e-05,MBA,0.67842
24789,2033375,' 33375 (1999 CD4)',N,15.8,2.91,0.091,0.428,0.1816648271695385,2.296884529949806,1.8796213987880883,2.895828363688956,300.1935579201694,281.51989787471337,337.8313112583113,2.7141476611115243,0.2831361548911726,2459078.796919552,20200817.296919603,1271.47308381853,3.48110358334984,0.873826,340.06686442,4.414100000000001e-08,1.4725e-08,1.0155e-07,5.242000000000001e-06,9.6842e-05,9.8979e-05,2.7687e-05,1.74e-08,2.7226999999999997e-09,9.8305e-05,1.2227e-05,MBA,0.6211
26717,2036259,' 36259 (1999 XM74)',N,11.4,24.561999999999998,0.088,2.674,0.0910327772270571,5.226521940836025,4.7507371333235735,18.88518087531737,91.63822138758384,15.362264163437109,232.9018992419212,5.702306748348478,0.0824868856941644,2460541.327971482,20240818.8279715,4364.330123151545,11.948884662974802,3.77111,1467.6028787,7.1229e-08,1.1979000000000004e-07,3.8505e-07,6.1567e-06,1.9073e-05,4.6129e-05,4.2179e-05,1.3069000000000001e-07,2.8357e-09,0.00053905,0.00015004,TJN,0.5627
11452,2013751,' 13751 Joelparker (1998 SS55)',N,15.1,2.522,0.278,0.17300000000000001,0.0746097198233228,2.2514351975508844,2.0834562482612453,6.550045773270253,166.3315028617106,3.5088621642184963,342.8573300253764,2.419414146840523,0.2917527087823481,2459059.2575349207,20200728.7575349,1233.921705483,3.37829351261602,1.08945,423.9812565,3.9592e-08,7.874399999999998e-09,8.885099999999999e-08,4.3133e-06,2.9589e-05,3.7216e-05,2.3384e-05,8.4619e-09,1.5306e-09,8.023399999999999e-05,6.4734000000000006e-06,MBA,0.5555399999999999
14447,2017722,' 17722 (1997 YT1)',N,13.8,5.276,0.21,0.292,0.2283692563642327,2.465153558391791,1.902188273438215,12.014551789185331,250.9042019914972,105.09374504853147,11.71224843863282,3.028118843345366,0.2546467324767021,2458954.505895443,20200415.0058954,1413.723225500004,3.87056324572212,0.940524,366.02372508,3.3644e-08,9.7617e-09,8.2907e-08,4.8953e-06,1.6478e-05,2.0119e-05,1.2322e-05,1.1991e-08,1.5125999999999995e-09,4.822e-05,8.3973e-06,MBA,0.4953399999999999
119440,2424237,'424237 (2007 RV198)',N,16.3,3.157,0.059,0.7909999999999999,0.3076912031411801,2.594156628332558,1.7959574542242458,11.76982648686816,249.9657230621856,42.65304190826318,49.93738756726311,3.3923558024408704,0.2358901370762641,2458788.802350466,20191101.3023505,1526.134176112717,4.1783276553394,0.7990430000000001,310.96356431,1.3157e-07,5.3168e-08,3.7474000000000003e-07,7.775599999999999e-06,2.197e-05,3.0751e-05,2.7213e-05,6.9527e-08,7.2519e-09,0.0001093,4.6918e-05,MBA,0.60341
65019,2120435,'120435 (3310 T-3)',N,15.0,4.178999999999999,0.1009999999999999,1.749,0.0824461304807089,3.1413990927079505,2.8824028932185684,4.865518727858529,40.190438418073725,57.30090139352615,186.88695727082643,3.40039529219733,0.1770188043113696,2459978.435894453,20230202.9358945,2033.68224862017,5.56791854516131,1.90296,740.5749432,3.9645e-08,2.5894e-08,1.2271e-07,6.0852e-06,6.2242e-05,7.5032e-05,4.1999e-05,2.8029e-08,2.1886999999999997e-09,0.00024021,2.5145e-05,MBA,0.5384399999999999
14967,2018457,' 18457 (1995 EX7)',N,14.3,3.086,0.322,0.16,0.1489255701998513,2.2857258208432207,1.9453227996536209,0.5703274277909246,69.46575778483093,133.9107710427831,79.4897529078058,2.626128842032821,0.2852120514278336,2458721.7959532742,20190826.295953304,1262.218753372313,3.45576660745329,0.941804,366.52186268,3.4169e-08,6.9376000000000005e-09,7.9472e-08,3.4693e-06,0.00035731,0.00035751,1.1514e-05,7.9707e-09,1.2985e-09,4.0172e-05,5.746599999999999e-06,MBA,0.43795
99494,2248733,'248733 (2006 QP111)',N,16.8,1.868,0.096,0.525,0.213570224016802,2.6275957564688186,2.0664195421341742,0.9953535997959488,187.625418939071,140.11802855689672,93.30616767914586,3.1887719708034616,0.2314015406791326,2458597.278105257,20190423.7781053,1555.7372649440802,4.25937649539789,1.05515,410.6327255,3.3627e-08,1.3813e-08,8.613099999999999e-08,5.4041e-06,0.00030487,0.00030538,1.7493e-05,1.6763e-08,1.8247e-09,7.403100000000001e-05,1.2268e-05,MBA,0.6027399999999999
25705,2034702,' 34702 (2001 OW62)',N,13.9,3.42,0.5479999999999999,0.059000000000000004,0.0545191792464722,2.34542096085943,2.217550535085902,6.7065255086063775,350.4282820825832,188.129537687803,298.68651518002184,2.473291386632959,0.2743929006833386,2459223.951425555,20210109.4514256,1311.987296695609,3.59202545296539,1.22134,475.3088878,3.2206000000000004e-08,8.2937e-09,7.6855e-08,3.3407e-06,2.6668000000000003e-05,3.9909e-05,3.0618000000000004e-05,8.7459e-09,1.4554e-09,0.0001118,6.9591e-06,MBA,0.475
87556,2212122,'212122 (2005 EK197)',N,16.6,2.927,0.062,0.8270000000000001,0.059423709674696,2.537917423063667,2.387104954937179,7.233450599441652,342.17772139055364,210.30683011014648,260.5317434063242,2.688729891190156,0.2437742579164019,2459408.534291413,20210713.0342914,1476.776108671226,4.043192631543399,1.39067,541.2070438999999,4.1417e-08,1.8721e-08,1.0412000000000001e-07,5.1114e-06,3.4334e-05,5.5478e-05,4.443e-05,1.9833e-08,2.6973e-09,0.00018395,1.634e-05,MBA,0.54365
61277,2109974,'109974 (2001 SL53)',N,15.7,1.714,0.379,0.207,0.1577520784657726,2.471867199416522,2.081925011017197,3.2315792653209483,81.70160892469883,5.969418289168682,236.5117853580168,2.8618093878158466,0.2536099987520195,2459487.421711485,20210929.9217115,1419.502392537799,3.8863857427455097,1.09834,427.4409778,5.622200000000001e-08,1.2884e-08,1.3491e-07,6.074400000000001e-06,8.0909e-05,8.237e-05,1.6085999999999998e-05,1.4916e-08,1.9828e-09,6.4946e-05,1.1098e-05,MBA,0.55418
42147,2064807,' 64807 (2001 XD213)',N,15.0,3.805,0.134,0.445,0.1246382560589034,2.622368305707039,2.2955208933395714,13.76207910012724,126.52627842863753,106.4732280209935,5.434519221335718,2.9492157180745067,0.2320938020125357,2458977.0848153885,20200507.5848154,1551.0969999128022,4.24667214212951,1.32724,516.5219908,5.0942e-08,2.1537000000000003e-08,1.3687e-07,7.6877e-06,2.1742e-05,4.3318e-05,4.2639e-05,2.4221e-08,2.8592e-09,0.00018351,1.9108e-05,MBA,0.57518
112830,2354768,'354768 (2005 UR84)',N,15.6,4.257,0.0559999999999999,0.20600000000000002,0.1064318447169143,3.036565960016877,2.7133786432876934,12.40522750534534,209.7817899693253,100.76661009135192,349.7749139078295,3.3597532767460607,0.1862644588465488,2459055.395529482,20200724.8955295,1932.7358650668868,5.291542409491821,1.73511,675.2527587000001,6.196100000000002e-08,4.4841e-08,2.0971e-07,8.7487e-06,2.3048e-05,5.5346e-05,4.6517e-05,4.9614000000000003e-08,4.1258999999999996e-09,0.00024995,4.2811e-05,MBA,0.46248
87403,2211001,'211001 (2001 XD128)',N,15.6,4.845,0.047,1.676,0.0540948529063687,3.053364979087739,2.88819364967453,4.089359039817558,93.66257990471308,329.034427091152,173.0454205855899,3.218536308500948,0.1847293889843165,2458063.749104341,20171106.2491043,1948.7965719984272,5.335514228606231,1.90233,740.3297661,5.9683e-08,3.5226e-08,1.8274e-07,6.1178e-06,0.00011089,0.00013117,6.9606e-05,3.7131e-08,3.1968e-09,0.00037552,3.3724e-05,MBA,0.6452100000000001
103863,2272747,'272747 (2005 YK131)',N,15.3,5.601,0.0559999999999999,0.26899999999999996,0.1306537939226386,2.747716787138514,2.388717164273944,30.9772225858655,120.5948285681022,82.86270969838597,352.10825476857246,3.106716410003084,0.2163944526612753,2459036.9692584965,20200706.4692585,1663.628598481275,4.554766867847429,1.56501,609.0549417000001,5.5644e-08,3.3705e-08,1.4907999999999998e-07,8.3275e-06,1.19e-05,3.3995e-05,3.4668e-05,3.8108e-08,3.9816e-09,0.00016053,3.061e-05,MBA,0.51532
59755,2105845,'105845 (2000 SB163)',N,15.1,2.377,0.312,0.207,0.1800401630065756,2.8591997799422115,2.34442898549305,14.075106717415302,3.8018187581692033,2.907550171779388,15.59502135851825,3.373970574391372,0.2038624885268862,2458924.002251585,20200315.502251603,1765.896230352951,4.834760384265441,1.34307,522.6825518999999,5.3466e-08,1.869e-08,1.5496e-07,6.1017e-06,2.1016e-05,2.5779e-05,1.7492e-05,2.2055e-08,1.9989e-09,8.5354e-05,1.7315e-05,MBA,0.57176
59965,2106285,'106285 (2000 UG77)',N,14.8,3.4930000000000003,0.209,0.899,0.1004619231321572,3.045611948029957,2.739643914616592,9.176058109005709,195.2387353309036,149.6038727343573,293.2927178948229,3.351579981443324,0.1854352194393797,2459360.233616445,20210525.7336164,1941.378779545635,5.31520541970058,1.7377900000000002,676.2957342999999,4.8122e-08,2.3930000000000003e-08,1.4934e-07,5.3631e-06,2.5815e-05,3.503e-05,2.7873e-05,2.6334e-08,2.1855e-09,0.00015324,2.2881e-05,MBA,0.49662
12927,2015713,' 15713 (1989 SM4)',N,13.8,8.112,0.0969999999999999,0.136,0.1352652607431966,3.047519796147013,2.635296236301134,2.5206255550187984,108.9579534982372,245.1292729480197,297.38868147371016,3.4597433559928925,0.1852611138310738,2459338.462550432,20210503.9625504,1943.203258122792,5.32020056980915,1.63152,634.9386384,4.3934e-08,1.9387e-08,1.3981e-07,4.3709e-06,0.00010647,0.00010765,1.778e-05,2.2009e-08,1.7677999999999996e-09,9.742e-05,1.8543e-05,MBA,0.52635
64572,2118892,'118892 (2000 UE44)',N,14.8,4.894,0.104,0.08900000000000001,0.2459073377737653,2.754278847289944,2.076981468466279,8.466620669467567,37.68948310538893,66.64416681818045,64.1672405574191,3.431576226113609,0.2156215748727802,2458702.908070272,20190807.4080703,1669.59173826833,4.571093054807201,1.1106,432.21220199999993,4.1342e-08,1.3909e-08,1.1567e-07,5.3273e-06,3.2633000000000004e-05,3.5023e-05,1.1301e-05,1.7329000000000006e-08,1.6333e-09,5.1519e-05,1.2647e-05,MBA,0.55002
90526,2228200,'228200 (4088 T-3)',N,16.2,3.53,0.043,0.09,0.2063673959908834,2.750618152111701,2.1829802466951542,9.710578905533543,168.1490281639754,203.7249243227108,127.13519816657828,3.3182560575282483,0.216052162132625,2458412.053224408,20181020.5532244,1666.2642782487492,4.56198296577344,1.18612,461.6023204,8.9721e-08,2.2368e-08,2.4717e-07,1.0665e-05,3.1458e-05,3.6467e-05,1.4085e-05,2.6984e-08,2.6354e-09,6.644600000000001e-05,2.0325e-05,MBA,0.56011
122328,2458655,'458655 (2011 GH67)',N,16.4,2.8789999999999996,0.071,0.653,0.2999681104469606,3.112178142901034,2.17862394600068,26.25209866916122,49.70581489174472,105.4593166396219,262.5456195876393,4.045732339801388,0.1795177521088797,2459543.367651068,20211124.8676511,2005.372704208416,5.49041123671024,1.32972,517.4871324,2.2491e-07,1.4416e-07,7.7385e-07,1.8565e-05,3.3825e-05,6.9082e-05,3.1011e-05,1.874e-07,1.2473e-08,0.00018866,0.00013934,MBA,0.72564
74229,2151715,'151715 (2003 BZ46)',N,16.0,2.639,0.05,0.38799999999999996,0.1862611960274189,2.376171464751226,1.9335829257604384,10.6875998434947,95.19055407461988,125.10095039467708,197.8906625133955,2.818760003742013,0.2690837116990666,2459602.9494625223,20220123.4494625,1337.873622029604,3.66289834915703,0.945915,368.12174055,6.4296e-08,1.3655e-08,1.5004e-07,4.7131e-06,3.8486e-05,4.0939e-05,1.4152e-05,1.6198e-08,2.3194999999999997e-09,5.287600000000001e-05,1.1532e-05,MBA,0.56593
29310,2040667,' 40667 (1999 RB200)',N,13.9,5.074,0.249,0.11900000000000001,0.1017488565764167,2.5456251004725505,2.2866106572272438,13.998727829814491,297.6638175067578,340.47658654231014,102.15205832152849,2.8046395437178586,0.242667942011772,2458579.5459280508,20190406.045928106,1483.508686872764,4.061625426071911,1.27425,495.8998725,4.4807e-08,1.1613e-08,1.1634000000000001e-07,5.7674e-06,1.6848e-05,3.601e-05,2.9568e-05,1.2795e-08,1.6605999999999996e-09,0.00012263,1.0152e-05,MBA,0.49696
50516,2082963,' 82963 (2001 QT130)',N,14.8,4.287,0.139,1.3559999999999999,0.0710806089280873,3.008373862291891,2.7945368162768416,8.29903900900553,289.2225618677588,138.0778981949175,130.4437221217228,3.2222109083069403,0.1888888679502663,2458309.915512215,20180710.4155122,1905.8825642111767,5.21802207860692,1.81562,706.5848354,5.7204e-08,2.8684e-08,1.6267e-07,5.8333000000000005e-06,4.1378e-05,6.1552e-05,4.3204e-05,3.0723e-08,2.7015e-09,0.00022912,2.7258e-05,MBA,0.57755
25023,2033714,' 33714 Sarakaufman (1999 LG24)',N,14.5,3.798,0.401,0.132,0.0965978785612445,2.407242548533758,2.1747080251630333,5.479190915394528,131.6541001894651,124.4395292863,223.59433286405843,2.639777071904483,0.2638908289277519,2459517.401885868,20211029.901885897,1364.200497087229,3.73497740475627,1.16517,453.4492089,3.7279e-08,1.0507e-08,8.9513e-08,4.7879e-06,4.2528e-05,5.1143e-05,3.1068e-05,1.1522e-08,1.7278e-09,0.00011896,8.9318e-06,MBA,0.5367
